# Galactic Survey extended grid (glong +5 to +7)
# Prepared by P. Backus
# Freq 1720 MHz
# Grid Spacing arcmin degrees
# Long          7.77  0.129523
# Lat           2.62  0.043690
# dl/db         0.90  0.015
#
# GalLong(deg),GalLat(deg)
#
5.375920,0.567970
5.505443,0.567970
5.634966,0.567970
5.764489,0.567970
5.894012,0.567970
6.023535,0.567970
6.153058,0.567970
6.282581,0.567970
6.412104,0.567970
6.541627,0.567970
6.671150,0.567970
6.800673,0.567970
6.930196,0.567970
7.059719,0.567970
5.115443,-0.567970
5.244966,-0.567970
5.374489,-0.567970
5.504012,-0.567970
5.633535,-0.567970
5.763058,-0.567970
5.892581,-0.567970
6.022104,-0.567970
6.151627,-0.567970
6.281150,-0.567970
6.410673,-0.567970
6.540196,-0.567970
6.669719,-0.567970
6.799242,-0.567970
6.928765,-0.567970
7.058288,-0.567970
5.131874,0.611660
5.261397,0.611660
5.390920,0.611660
5.520443,0.611660
5.649966,0.611660
5.779489,0.611660
5.909012,0.611660
6.038535,0.611660
6.168058,0.611660
6.297581,0.611660
6.427104,0.611660
6.556627,0.611660
6.686150,0.611660
6.815673,0.611660
6.945196,0.611660
5.100443,-0.611660
5.229966,-0.611660
5.359489,-0.611660
5.489012,-0.611660
5.618535,-0.611660
5.748058,-0.611660
5.877581,-0.611660
6.007104,-0.611660
6.136627,-0.611660
6.266150,-0.611660
6.395673,-0.611660
6.525196,-0.611660
6.654719,-0.611660
6.784242,-0.611660
6.913765,-0.611660
7.043288,-0.611660
5.146874,0.655350
5.276397,0.655350
5.405920,0.655350
5.535443,0.655350
5.664966,0.655350
5.794489,0.655350
5.924012,0.655350
6.053535,0.655350
6.183058,0.655350
6.312581,0.655350
6.442104,0.655350
6.571627,0.655350
6.701150,0.655350
6.830673,0.655350
6.960196,0.655350
5.085443,-0.655350
5.214966,-0.655350
5.344489,-0.655350
5.474012,-0.655350
5.603535,-0.655350
5.733058,-0.655350
5.862581,-0.655350
5.992104,-0.655350
6.121627,-0.655350
6.251150,-0.655350
6.380673,-0.655350
6.510196,-0.655350
6.639719,-0.655350
6.769242,-0.655350
6.898765,-0.655350
7.028288,-0.655350
5.161874,0.699040
5.291397,0.699040
5.420920,0.699040
5.550443,0.699040
5.679966,0.699040
5.809489,0.699040
5.939012,0.699040
6.068535,0.699040
6.198058,0.699040
6.327581,0.699040
6.457104,0.699040
6.586627,0.699040
6.716150,0.699040
6.845673,0.699040
6.975196,0.699040
5.070443,-0.699040
5.199966,-0.699040
5.329489,-0.699040
5.459012,-0.699040
5.588535,-0.699040
5.718058,-0.699040
5.847581,-0.699040
5.977104,-0.699040
6.106627,-0.699040
6.236150,-0.699040
6.365673,-0.699040
6.495196,-0.699040
6.624719,-0.699040
6.754242,-0.699040
6.883765,-0.699040
7.013288,-0.699040
5.176874,0.742730
5.306397,0.742730
5.435920,0.742730
5.565443,0.742730
5.694966,0.742730
5.824489,0.742730
5.954012,0.742730
6.083535,0.742730
6.213058,0.742730
6.342581,0.742730
6.472104,0.742730
6.601627,0.742730
6.731150,0.742730
6.860673,0.742730
6.990196,0.742730
5.184966,-0.742730
5.314489,-0.742730
5.444012,-0.742730
5.573535,-0.742730
5.703058,-0.742730
5.832581,-0.742730
5.962104,-0.742730
6.091627,-0.742730
6.221150,-0.742730
6.350673,-0.742730
6.480196,-0.742730
6.609719,-0.742730
6.739242,-0.742730
6.868765,-0.742730
6.998288,-0.742730
5.191874,0.786420
5.321397,0.786420
5.450920,0.786420
5.580443,0.786420
5.709966,0.786420
5.839489,0.786420
5.969012,0.786420
6.098535,0.786420
6.228058,0.786420
6.357581,0.786420
6.487104,0.786420
6.616627,0.786420
6.746150,0.786420
6.875673,0.786420
7.005196,0.786420
5.169966,-0.786420
5.299489,-0.786420
5.429012,-0.786420
5.558535,-0.786420
5.688058,-0.786420
5.817581,-0.786420
5.947104,-0.786420
6.076627,-0.786420
6.206150,-0.786420
6.335673,-0.786420
6.465196,-0.786420
6.594719,-0.786420
6.724242,-0.786420
6.853765,-0.786420
6.983288,-0.786420
5.077351,0.830110
5.206874,0.830110
5.336397,0.830110
5.465920,0.830110
5.595443,0.830110
5.724966,0.830110
5.854489,0.830110
5.984012,0.830110
6.113535,0.830110
6.243058,0.830110
6.372581,0.830110
6.502104,0.830110
6.631627,0.830110
6.761150,0.830110
6.890673,0.830110
7.020196,0.830110
5.154966,-0.830110
5.284489,-0.830110
5.414012,-0.830110
5.543535,-0.830110
5.673058,-0.830110
5.802581,-0.830110
5.932104,-0.830110
6.061627,-0.830110
6.191150,-0.830110
6.320673,-0.830110
6.450196,-0.830110
6.579719,-0.830110
6.709242,-0.830110
6.838765,-0.830110
6.968288,-0.830110
5.092351,0.873800
5.221874,0.873800
5.351397,0.873800
5.480920,0.873800
5.610443,0.873800
5.739966,0.873800
5.869489,0.873800
5.999012,0.873800
6.128535,0.873800
6.258058,0.873800
6.387581,0.873800
6.517104,0.873800
6.646627,0.873800
6.776150,0.873800
6.905673,0.873800
7.035196,0.873800
5.139966,-0.873800
5.269489,-0.873800
5.399012,-0.873800
5.528535,-0.873800
5.658058,-0.873800
5.787581,-0.873800
5.917104,-0.873800
6.046627,-0.873800
6.176150,-0.873800
6.305673,-0.873800
6.435196,-0.873800
6.564719,-0.873800
6.694242,-0.873800
6.823765,-0.873800
6.953288,-0.873800
5.107351,0.917490
5.236874,0.917490
5.366397,0.917490
5.495920,0.917490
5.625443,0.917490
5.754966,0.917490
5.884489,0.917490
6.014012,0.917490
6.143535,0.917490
6.273058,0.917490
6.402581,0.917490
6.532104,0.917490
6.661627,0.917490
6.791150,0.917490
6.920673,0.917490
7.050196,0.917490
5.124966,-0.917490
5.254489,-0.917490
5.384012,-0.917490
5.513535,-0.917490
5.643058,-0.917490
5.772581,-0.917490
5.902104,-0.917490
6.031627,-0.917490
6.161150,-0.917490
6.290673,-0.917490
6.420196,-0.917490
6.549719,-0.917490
6.679242,-0.917490
6.808765,-0.917490
6.938288,-0.917490
5.122351,0.961180
5.251874,0.961180
5.381397,0.961180
5.510920,0.961180
5.640443,0.961180
5.769966,0.961180
5.899489,0.961180
6.029012,0.961180
6.158535,0.961180
6.288058,0.961180
6.417581,0.961180
6.547104,0.961180
6.676627,0.961180
6.806150,0.961180
6.935673,0.961180
7.065196,0.961180
5.109966,-0.961180
5.239489,-0.961180
5.369012,-0.961180
5.498535,-0.961180
5.628058,-0.961180
5.757581,-0.961180
5.887104,-0.961180
6.016627,-0.961180
6.146150,-0.961180
6.275673,-0.961180
6.405196,-0.961180
6.534719,-0.961180
6.664242,-0.961180
6.793765,-0.961180
6.923288,-0.961180
7.052811,-0.961180
