# Cygnus X-3 survey grid
# Prepared by Peter Backus 23 Nov 2009
# Freq band 2840 - 3440 MHz
#
# Gal Longitude, Gal Latitude
#
80.3230,0.9400
80.4080,0.9400
80.4930,0.9400
80.5780,0.9400
80.6630,0.9400
80.7480,0.9400
80.8330,0.9400
80.9180,0.9400
81.0030,0.9400
81.0880,0.9400
81.1730,0.9400
81.2580,0.9400
81.3430,0.9400
79.3455,1.0000
79.4305,1.0000
79.5155,1.0000
79.6005,1.0000
79.6855,1.0000
79.7705,1.0000
79.8555,1.0000
79.9405,1.0000
80.0255,1.0000
80.1105,1.0000
80.1955,1.0000
80.2805,1.0000
80.3655,1.0000
80.4505,1.0000
80.5355,1.0000
80.6205,1.0000
80.7055,1.0000
80.7905,1.0000
80.8755,1.0000
80.9605,1.0000
81.0455,1.0000
81.1305,1.0000
81.2155,1.0000
81.3005,1.0000
79.3880,1.0600
79.4730,1.0600
79.5580,1.0600
79.6430,1.0600
79.7280,1.0600
79.8130,1.0600
79.8980,1.0600
79.9830,1.0600
80.0680,1.0600
80.1530,1.0600
80.2380,1.0600
80.3230,1.0600
80.4080,1.0600
80.4930,1.0600
80.5780,1.0600
80.6630,1.0600
80.7480,1.0600
80.8330,1.0600
80.9180,1.0600
81.0030,1.0600
81.0880,1.0600
81.1730,1.0600
81.2580,1.0600
81.3430,1.0600
79.3455,1.1200
79.4305,1.1200
79.5155,1.1200
79.6005,1.1200
79.6855,1.1200
79.7705,1.1200
79.8555,1.1200
79.9405,1.1200
80.0255,1.1200
80.1105,1.1200
80.1955,1.1200
80.2805,1.1200
80.3655,1.1200
80.4505,1.1200
80.5355,1.1200
80.6205,1.1200
80.7055,1.1200
80.7905,1.1200
80.8755,1.1200
80.9605,1.1200
81.0455,1.1200
81.1305,1.1200
81.2155,1.1200
81.3005,1.1200
79.3880,1.1800
79.4730,1.1800
79.5580,1.1800
79.6430,1.1800
79.7280,1.1800
79.8130,1.1800
79.8980,1.1800
79.9830,1.1800
80.0680,1.1800
80.1530,1.1800
80.2380,1.1800
80.3230,1.1800
80.4080,1.1800
80.4930,1.1800
80.5780,1.1800
80.6630,1.1800
80.7480,1.1800
80.8330,1.1800
80.9180,1.1800
81.0030,1.1800
81.0880,1.1800
81.1730,1.1800
81.2580,1.1800
81.3430,1.1800
