# $Id: gal-survey-grid-coords.csv,v 1.1 2007/12/19 23:15:03 kilsdonk Exp $
# Galactic Survey grid.
# Prepared by P. Backus
# Freq 1720 MHz
# Grid Spacing arcmin degrees
# Long          7.77  0.129523
# Lat           2.62  0.043690
# dl/db         0.90  0.015
#
# GalLong(deg),GalLat(deg),RA(J2000-hours),Dec(J2000-deg)
#
-4.189736,-0.131070,17.596619,-32.558324
-4.060213,-0.131070,17.602140,-32.449245
-3.930690,-0.131070,17.607647,-32.340112
-3.801167,-0.131070,17.613142,-32.230925
-3.671644,-0.131070,17.618623,-32.121686
-3.542121,-0.131070,17.624091,-32.012394
-3.412598,-0.131070,17.629546,-31.903050
-3.283075,-0.131070,17.634988,-31.793654
-3.153552,-0.131070,17.640418,-31.684206
-3.024029,-0.131070,17.645835,-31.574707
-2.894506,-0.131070,17.651239,-31.465157
-2.764983,-0.131070,17.656630,-31.355556
-2.635460,-0.131070,17.662009,-31.245905
-2.505937,-0.131070,17.667376,-31.136204
-2.376414,-0.131070,17.672730,-31.026454
-2.246891,-0.131070,17.678072,-30.916654
-2.117368,-0.131070,17.683401,-30.806806
-1.987845,-0.131070,17.688719,-30.696909
-1.858322,-0.131070,17.694024,-30.586963
-1.728799,-0.131070,17.699318,-30.476970
-1.599276,-0.131070,17.704599,-30.366929
-1.469753,-0.131070,17.709869,-30.256841
-1.340230,-0.131070,17.715127,-30.146705
-1.210707,-0.131070,17.720373,-30.036523
-1.081184,-0.131070,17.725608,-29.926295
-0.951661,-0.131070,17.730831,-29.816020
-0.822138,-0.131070,17.736043,-29.705700
-0.692615,-0.131070,17.741243,-29.595335
-0.563092,-0.131070,17.746432,-29.484924
-0.433569,-0.131070,17.751610,-29.374468
-0.304046,-0.131070,17.756776,-29.263968
-0.174523,-0.131070,17.761932,-29.153423
-0.045000,-0.131070,17.767076,-29.042835
0.084523,-0.131070,17.772209,-28.932203
0.214046,-0.131070,17.777332,-28.821527
0.343569,-0.131070,17.782444,-28.710808
0.473092,-0.131070,17.787545,-28.600047
0.602615,-0.131070,17.792635,-28.489243
0.732138,-0.131070,17.797714,-28.378397
0.861661,-0.131070,17.802783,-28.267509
0.991184,-0.131070,17.807842,-28.156579
1.120707,-0.131070,17.812890,-28.045608
1.250230,-0.131070,17.817928,-27.934596
1.379753,-0.131070,17.822955,-27.823543
