"Planet Name","St. Dist","St. Spec. Type","St. Right Asc.","St. Decli.","St. Mag. V.",
"HD 195019 b","37.36","G3 IV-V","20 28 17","+18 46 12","6.91",
"HD 196050 b","46.9","G3 V","20 37 51","-60 38 04","7.5",
"HD 196885 b","33","F8V","20 39 51","+11 14 58","6.4",
"HD 19994 b","22.38","F8 V","03 12 46","-01 11 45","5.07",
"HD 202206 b","46.34","G6 V","21 14 57","-20 47 21","8.08",
"HD 202206 c","46.34","G6 V","21 14 57","-20 47 21","8.08",
"HD 20367 b","27","G0","03 17 40","+31 07 37","6.41",
"HD 2039 b","89.8","G2/G3 IV-V","00 24 20","-56 39 00","9.01",
"HD 204313 b","47.37","G5V","21 28 12","-21 43 35","7.99",
"HD 205739 b","90.3","F7V","21 38 08","-31 44 15","8.56",
"HD 20782 b","36.02","G2 V","03 20 03","-28 51 14","7.38",
"HD 208487 b","45","G2V","21 57 19","-37 45 49","7.48",
"HD 20868 b","48.9","K3/4IV","03 20 43","-33 43 48","9.92",
"HD 209458 b","47","G0 V","22 03 10","+18 53 04","7.65",
"HD 210277 b","21.29","G0","22 09 29","-07 32 32","6.63",
"HD 210702 b","56","K1III","22 11 51","+16 02 2","5.93",
"HD 212301 b","52.7","F8 V","22 27 30","-77 43 04","7.77",
"HD 213240 b","40.75","G4 IV","22 31 00","-49 25 59","6.8",
"HD 215497 b","43.5","K3V","22 46 37","-56 35 58","8.97",
"HD 215497 c","43.5","K3V","22 46 37","-56 35 58","8.97",
"HD 216435 b","33.3","G0 V","22 53 37","-48 35 53","6.03",
"HD 216437 b","26.5","G4 IV-V","22 54 39","-70 04 25","6.06",
"HD 216770 b","38","K1 V","22 55 53","-26 39 31","8.1",
"HD 217107 b","19.72","G8 IV","22 58 15","-02 23 42","6.16",
"HD 217107 c","19.72","G8 IV","22 58 15","-02 23 42","6.16",
"HD 219449 b","45","K0 III","23 15 53","-09 05 15","4.21",
"HD 219828 b","81.1","G0IV","23 18 47","+18 38 45","8.04",
"HD 221287 b","52.9","F7 V","23 31 20","-58 12 35","7.82",
"HD 222582 b","42","G5","23 41 51","-05 59 08","7.7",
"HD 224693 b","94","G2IV","23 59 54","-22 25 41","8.23",
"HD 23079 b","34.8","F8/G0 V","03 39 43","-52 54 57","7.1",
"HD 23127 b","89.1","G2V","03 39 24","-60 04 40","8.58",
"HD 231701 b","108.4","F8V","19 32 04","+16 28 27","8.97",
"HD 23596 b","52","F8","03 48 00","+40 31 50","7.24",
"HD 240210 b","143","K3III","23 10 29","+57 01 46","8.33",
"HD 2638 b","53.71","G5","00 29 59","-05 45 50","9.44",
"HD 27442 b","18.1","K2 IV a","04 16 29","-59 18 07","4.44",
"HD 27894 b","42.37","K2 V","04 20 47","-59 24 39","9.36",
"HD 28185 b","39.4","G5","04 26 26","-10 33 02","7.81",
"HD 28254 b","56.2","G5V","04 24 51","-50 37 20","7.71",
"HD 285968 b","9.4","M2.5V","04 42 56","+18 57 29","9.97",
"HD 290327 b","54.9","G5IV","05 23 22","-02 16 39","8.96",
"HD 30177 b","55","G8 V","04 41 54","-58 01 14","8.41",
"HD 30562 b","26.5","F8V","04 48 36","-05 40 27","5.77",
